,Chademo_total,Chademo_available,Chademo_occupied,Chademo_reserved,Chademo_unknown,Chademo_out_of_service,IEC62196Type2CCS_total,IEC62196Type2CCS_available,IEC62196Type2CCS_occupied,IEC62196Type2CCS_reserved,IEC62196Type2CCS_unknown,IEC62196Type2CCS_out_of_service,Total_total,Total_available,Total_occupied,Total_reserved,Total_unknown,Total_out_of_service,chargingAvailability,IEC62196Type2CableAttached_total,IEC62196Type2CableAttached_available,IEC62196Type2CableAttached_occupied,IEC62196Type2CableAttached_reserved,IEC62196Type2CableAttached_unknown,IEC62196Type2CableAttached_out_of_service,IEC62196Type2Outlet_total,IEC62196Type2Outlet_available,IEC62196Type2Outlet_occupied,IEC62196Type2Outlet_reserved,IEC62196Type2Outlet_unknown,IEC62196Type2Outlet_out_of_service,IEC62196Type1CCS_total,IEC62196Type1CCS_available,IEC62196Type1CCS_occupied,IEC62196Type1CCS_reserved,IEC62196Type1CCS_unknown,IEC62196Type1CCS_out_of_service
299,,,,,,,2.0,1.0,1.0,0.0,0.0,0.0,2,1,1,0,0,0,528009010064111,,,,,,,,,,,,,,,,,,
300,3.0,3.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,11,10,1,0,0,0,528009010070331,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
301,,,,,,,6.0,6.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009010071434,,,,,,,,,,,,,,,,,,
302,,,,,,,2.0,1.0,1.0,0.0,0.0,0.0,2,1,1,0,0,0,528009010067525,,,,,,,,,,,,,,,,,,
303,2.0,0.0,0.0,0.0,2.0,0.0,,,,,,,2,0,0,0,2,0,528009010045230,,,,,,,,,,,,,,,,,,
304,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010073398,,,,,,,,,,,,,,,,,,
305,2.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,0.0,0.0,3.0,0.0,8,3,0,0,5,0,528009009095955,,,,,,,,,,,,,,,,,,
306,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8,8,0,0,0,0,528009010106001,,,,,,,,,,,,,,,,,,
307,2.0,0.0,0.0,0.0,2.0,0.0,,,,,,,2,0,0,0,2,0,528009010041202,,,,,,,,,,,,,,,,,,
308,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010045782,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
309,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,528009010050882,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,1,0,0,0,1,0,528009009084992,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
311,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010040936,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
312,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,1,0,0,0,528009010069669,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
313,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,1,1,0,1,0,528009010042234,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
314,4.0,4.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,14,13,1,0,0,0,528009009087047,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
315,2.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,8,6,2,0,0,0,528009010066958,,,,,,,,,,,,,,,,,,
316,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010108298,,,,,,,,,,,,,,,,,,
317,2.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,6,4,2,0,0,0,528009010105730,,,,,,,,,,,,,,,,,,
318,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,8,0,0,0,8,0,528009010110398,,,,,,,,,,,,,,,,,,
319,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,1,0,0,0,528009010040726,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
320,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009010108909,,,,,,,,,,,,,,,,,,
321,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,6,0,6,0,0,0,528009010112627,2.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,
322,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4,0,0,0,4,0,528009010107180,,,,,,,,,,,,,,,,,,
323,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,0,0,0,3,0,528009009078999,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
324,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010042143,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
325,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009010108225,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
326,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8,8,0,0,0,0,528009010110974,,,,,,,,,,,,,,,,,,
327,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,1,1,0,1,0,528009010040552,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
