,name,lat,lon,connectorTypes,chargingAvailability
64,Allego Oosterhout Beneluxweg,51.62707,4.86822,"['IEC62196Type2Outlet', 'Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009085226
65,Fastned Hank,51.74684,4.92197,"['Chademo', 'IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009010108003
66,TotalEnergies Breda Minervum,51.58315,4.82575,"['IEC62196Type2CCS', 'Chademo']",
67,PARKnCHARGE Tilburg Goirkekanaaldijk,51.5777,5.07824,['IEC62196Type2CCS'],528009010074928
68,Fastned Numansdorp,51.73726,4.41002,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009088773
69,Fastned Dorst Rijksweg A27,51.6029,4.84106,"['IEC62196Type2CCS', 'Chademo']",528009010067223
70,Fastned Breda Hazeldonk,51.49786,4.74323,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009009085940
71,IONITY Oosterhout Beneluxweg,51.62704,4.87003,['IEC62196Type2CCS'],528009009107360
72,Allego Tilburg Burgemeester Letschertweg,51.57956,4.97273,"['IEC62196Type2CCS', 'Chademo']",
73,E-Flux Rijen Europalaan,51.57811,4.93661,"['IEC62196Type2CCS', 'Chademo']",528009010067430
74,E-Flux Bergen op Zoom Rijksweg A58,51.50443,4.34862,['IEC62196Type2CCS'],528009010040550
75,Allego Breda Backer en Ruebweg,51.60232,4.76944,"['IEC62196Type2CCS', 'Chademo']",
76,E-Flux Zevenbergschen Hoek Rijksweg A16,51.69081,4.65664,"['IEC62196Type2CCS', 'Chademo']",528009010071232
77,Shell Recharge Breda Hazeldonk,51.49973,4.74197,"['IEC62196Type2CCS', 'Chademo']",528009010107347
78,Orange Charging Standdaarbuiten Markweg,51.61778,4.51818,"['IEC62196Type2CCS', 'Chademo']",
79,Shell Recharge Hank E311,51.74429,4.91808,"['IEC62196Type2CCS', 'Chademo']",528009010104373
80,Tesla Tilburg Dokter Bloemenlaan,51.54318,5.11193,['IEC62196Type2CCS'],
81,Breda Minervum,51.58315,4.82575,"['IEC62196Type2CCS', 'Chademo']",
82,PARKnCHARGE Waalwijk Industrieweg,51.70655,5.06125,['IEC62196Type2CCS'],528009010104136
83,Fastned Den Hout Rijksweg A59,51.67651,4.82724,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010110219
84,Allego Tilburg Burgemeester Brokxlaan,51.5618,5.07974,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009009107800
85,Shell Recharge Etten-Leur Rijksweg A58,51.57359,4.68431,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010112488
86,Shell Recharge Breda Backer en Ruebweg,51.60232,4.76944,"['Chademo', 'IEC62196Type2CCS']",528009010110049
87,Shell Recharge Breda E19,51.49747,4.74228,"['IEC62196Type2CCS', 'Chademo']",528009010110250
88,Fastned Klundert,51.642,4.55653,"['IEC62196Type2CCS', 'Chademo']",528009010056387
89,Fastned Sprang-Capelle,51.69392,5.01351,"['Chademo', 'IEC62196Type2CCS']",528009010111171
90,Fastned Oosterhout Rijksweg A27,51.61215,4.85735,"['IEC62196Type2CCS', 'Chademo']",528009010110502
91,TotalEnergies Drunen Spoorlaan,51.69779,5.16162,"['IEC62196Type2CCS', 'Chademo']",
92,InCharge Etten-Leur Trivium,51.57235,4.66797,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010109229
93,InCharge Maarssen Planetenbaan,52.12859,5.03496,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010106256
94,Tesla Zaltbommel Hogeweg,51.79625,5.25496,"['Tesla', 'IEC62196Type2CCS']",
95,Fastned Beesd Rijksweg A2,51.91258,5.18067,"['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS']",528009010104409
96,Allego Katwoude Wagenweg,52.48734,5.03295,"['IEC62196Type2Outlet', 'IEC62196Type2CCS']",528009010072535
