,name,lat,lon,connectorTypes,chargingAvailability
205,Landgraaf Euregioweg,50.8713,6.01622,['IEC62196Type2CCS'],
206,PARKnCHARGE Someren Boerenkamplaan,51.37397,5.72439,"['IEC62196Type2CCS', 'Chademo']",528009010044975
207,Allego Eindhoven Stationsplein,51.44201,5.48033,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009072160
208,Son en Breugel Ekkersrijt,51.50384,5.47127,['IEC62196Type2CCS'],
209,Shell Recharge Heesch Bosschebaan,51.72869,5.47567,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010111967
210,E-Flux Deurne Helmondseweg,51.46029,5.7722,"['Chademo', 'IEC62196Type2CCS']",528009010109913
211,TotalEnergies Meerssen Rijksweg A2,50.88643,5.7396,"['IEC62196Type2CCS', 'Chademo']",
212,Orange Charging Eindhoven Meerenakkerplein,51.42734,5.44038,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",
213,E-Flux Venray Leunseweg,51.51794,5.9799,['IEC62196Type2CCS'],528009010105676
214,Fastned Asten Rijksweg A67,51.40441,5.81096,"['IEC62196Type2CCS', 'Chademo']",528009009103312
215,Tesla Uden Rondweg,51.67131,5.60267,['IEC62196Type2CCS'],
216,PARKnCHARGE Veldhoven Habraken,51.43409,5.36164,"['Chademo', 'IEC62196Type2CCS']",528009010057842
217,PARKnCHARGE Eindhoven Sint Bonifaciuslaan,51.42436,5.50589,['IEC62196Type2CCS'],
218,Tesla Eindhoven Aalsterweg,51.40693,5.47935,['Tesla'],
219,Allego Oirlo Venloseweg,51.50413,6.0214,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009087107
220,InCharge Kerkrade Euregiopark,50.86343,6.01405,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010046046
221,Kia Helmond Varenschut,51.45671,5.69279,"['Chademo', 'IEC62196Type2Outlet', 'Chademo', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",
222,Tesla Maastricht Slakweg,50.81651,5.72565,['Tesla'],
223,InCharge Rosmalen Burgemeester Burgerslaan,51.71928,5.33553,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010045122
224,Fastned Haps A73 Rijksweg,51.68352,5.89368,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010108912
225,Fastned Liempde Rijksweg,51.55637,5.36191,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010109630
226,Fastned Son en Breugel Rijksweg A50,51.53534,5.4788,"['IEC62196Type2CCS', 'Chademo']",528009010055744
227,E-Flux Geleen Industrieweg,50.9814,5.82655,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009010111403
228,Fastned Maarheeze Rijksweg A2,51.3221,5.59335,"['IEC62196Type2CCS', 'Chademo']",528009010104054
229,Shell Recharge Geleen Rijksweg A2,51.01052,5.79915,"['Chademo', 'IEC62196Type2CCS']",528009010104635
230,Fastned Maarheeze Rijksweg A2,51.32531,5.59222,"['IEC62196Type2CCS', 'Chademo']",528009010107484
231,Shell Recharge Eindhoven Floraplein,51.41554,5.49741,"['Chademo', 'IEC62196Type2CCS']",528009010110333
232,InCharge Beugen Provincialeweg,51.66573,5.94387,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010057340
233,InCharge Heesch Cereslaan,51.73566,5.51032,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010050175
234,Allego Venlo Nijmeegseweg,51.39537,6.17455,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009008553631
235,Fastned Eijsden,50.77688,5.72977,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'Chademo']",528009009078878
236,Allego Uden Rondweg,51.67109,5.60245,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009009107010
237,TotalEnergies Veghel Poort van Veghel,51.59953,5.51673,"['IEC62196Type2CCS', 'Chademo']",528009010109000
238,Shell Recharge Venlo Krefeldseweg,51.37195,6.17842,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010108040
239,Loosbroek Donatusstraat,51.67957,5.50847,['Chademo'],
240,InCharge Echt Zuiderpoort,51.10397,5.86271,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010056519
241,Allego Rosmalen Molenhoekpassage,51.71043,5.36629,['IEC62196Type2CCS'],528009010072729
242,Venlo Floralaan,51.40042,6.13157,"['IEC62196Type2Outlet', 'IEC62196Type1CCS', 'IEC62196Type2CCS']",
243,IONITY Sevenum Kleefsedijk,51.38006,5.9856,['IEC62196Type2CCS'],528009009077771
244,Fastned Liempde Rijksweg,51.55914,5.3568,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS', 'Chademo', 'Chademo', 'IEC62196Type2CCS']",528009009078901
245,Shell Recharge Eindhoven John F. Kennedylaan,51.47693,5.48829,"['Chademo', 'IEC62196Type2CCS']",528009010103824
246,Beringe Haambergweg,51.3183,5.91019,"['IEC62196Type2Outlet', 'IEC62196Type2CableAttached']",
247,Blue Corner Eindhoven Karel de Grotelaan,51.43345,5.4661,['Chademo'],
248,Fastned Oirschot Rijksweg A58,51.49173,5.35046,"['IEC62196Type2CCS', 'Chademo']",528009010069431
249,Shell Recharge Haps A73 Rijksweg,51.68323,5.89302,"['IEC62196Type2CCS', 'Chademo']",528009010110491
250,Fastned Schaijk Dassenbaan,51.74656,5.59917,"['IEC62196Type2CCS', 'Chademo']",528009010111646
251,Haps Klopsteen,51.6892,5.87924,"['IEC62196Type2CCS', 'Chademo']",528009010051452
252,Tesla Horst Tienrayseweg,51.47008,6.05708,"['Tesla', 'IEC62196Type2CCS']",
253,Allego Urmond Mauritslaan,50.98806,5.78099,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528008000012804
254,Fastned Geleen Swentiboldweg,51.01049,5.8005,"['IEC62196Type2CCS', 'Chademo', 'Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009010071428
255,Allego 's-Hertogenbosch Gestelseweg,51.67867,5.32693,"['IEC62196Type2CCS', 'Chademo']",
256,Fastned Eijsden Rijksweg,50.78603,5.72781,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'Chademo']",528009009096225
257,Allego Weert Rijksweg A2,51.25465,5.76515,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",
258,Porsche Maastricht-Airport Afrikalaan,50.9312,5.78396,['IEC62196Type2CCS'],
259,InCharge Landgraaf Brunssummerweg,50.9173,6.02264,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010040359
260,Allego Eindhoven Leenderfietspad,51.41553,5.49737,"['IEC62196Type2CCS', 'Chademo']",
261,Porsche Maastricht-Airport Afrikalaan,50.931,5.7835,['IEC62196Type2CCS'],
262,Allego Weert Rijksweg A2,51.25512,5.76669,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",
263,InCharge Heerlen Breukerweg,50.9046,5.9439,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010048399
264,Allego Eindhoven Noord Brabantlaan,51.43621,5.42311,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009009078050
265,Fastned Ell Rijksweg A2,51.22078,5.80891,"['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS']",528009010112591
266,InCharge Nederweert Randweg West,51.27758,5.73956,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010065903
267,Fastned Schaijk,51.7456,5.60249,"['IEC62196Type2CCS', 'Chademo']",528009010107828
268,Allego Heerlen Terworm,50.89202,5.95536,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",
269,Maastricht Molensingel,50.82955,5.71276,"['IEC62196Type2Outlet', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS']",
270,Shell Recharge Oirschot Rijksweg A58,51.4922,5.34928,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010112848
271,Maxem Energy Solutions Beringe Haambergweg,51.31902,5.90978,"['IEC62196Type2Outlet', 'IEC62196Type2CCS']",528009010109240
272,TotalEnergies Eindhoven Jeroen Boschlaan,51.44025,5.50481,"['IEC62196Type2CCS', 'Chademo']",
273,Allego Eindhoven John F. Kennedylaan,51.47693,5.48829,"['IEC62196Type2CCS', 'Chademo']",
274,Shell Recharge Ell E25,51.22023,5.80957,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'Chademo']",528009010104959
275,InCharge Maastricht Stadionplein,50.85645,5.71781,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010105580
276,AVIA Rosmalen Kloosterstraat,51.70057,5.36258,['IEC62196Type2CCS'],
277,Allego Sevenum Kleefsedijk,51.37979,5.98482,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009009086102
278,Allego Urmond Mauritslaan,50.98832,5.779,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009009084983
279,Haps Kokerbijl,51.69375,5.87164,['Chademo'],
280,EVBox Eersel Sigarenmaker,51.36786,5.31594,"['IEC62196Type2Outlet', 'IEC62196Type2Outlet', 'IEC62196Type2Outlet']",528009010065809
281,ThePluginCompany Maastricht Wim Duisenbergplantsoen,50.8415,5.70419,"['IEC62196Type2CableAttached', 'IEC62196Type2CableAttached', 'IEC62196Type2CableAttached']",
282,PARKnCHARGE Geffen Rijksweg,51.73447,5.49317,"['IEC62196Type2CCS', 'Chademo']",528009010074332
283,Fastned Geldrop Rijksweg E3,51.4039,5.53795,"['IEC62196Type2CCS', 'Chademo']",528009010056662
284,Harderwijk Boekhorstlaan,52.33573,5.64309,"['IEC62196Type2CCS', 'Chademo']",528009010065691
285,Allego Amersfoort Boerderijenboulevard,52.18224,5.43423,"['IEC62196Type2CCS', 'Chademo']",
286,InCharge Harderwijk Knardijk West,52.35386,5.63045,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010110904
287,TotalEnergies Leersum Rijksweg A12,52.05075,5.46641,"['IEC62196Type2CCS', 'Chademo']",528009010076272
288,Allego Stroe Heideweg,52.18571,5.67504,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009085685
289,Allego Veenendaal Bastion,52.04186,5.56784,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010043622
290,Shell Recharge Apeldoorn Lange Amerikaweg,52.17938,5.98556,['Chademo'],
291,Nijmegen Tarweweg,51.81678,5.82509,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo']",
292,Fastned Wilp Rijksweg A1 De Paal,52.20906,6.09274,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009009077886
293,Allego Ede Parkweide,52.05126,5.64473,['IEC62196Type2CCS'],528009010066439
294,Fastned Stroe Rijksweg A1,52.1845,5.67094,"['IEC62196Type2CCS', 'Chademo']",528009010112902
295,Fastned Staphorst Rijksweg,52.62455,6.20805,"['IEC62196Type2CCS', 'Chademo']",528009010109678
296,TotalEnergies Terschuur Rijksweg A1,52.16318,5.53402,"['IEC62196Type2CCS', 'Chademo']",528009010057627
297,E-Flux Arnhem,51.98513,5.91875,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010047535
298,Allego Arnhem Amsterdamseweg,52.01424,5.81964,"['IEC62196Type2Outlet', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009079540
299,Porsche Leusden Zuiderinslag,52.1232,5.41729,['IEC62196Type2CCS'],
300,Tesla Apeldoorn Landgoedlaan,52.20472,6.01618,['IEC62196Type2CCS'],
301,Fastned Nagele Rijksweg A6,52.66085,5.68918,"['IEC62196Type2CCS', 'Chademo']",528009010055861
302,InCharge Amersfoort Wiekenweg,52.16293,5.42356,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010043750
303,Fastned Ugchelen Rijksweg A1,52.18576,5.89082,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CableAttached', 'Chademo']",528009010111087
304,InCharge Terschuur Zelderseweg,52.16904,5.56494,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010044785
305,Zwolle Oude Meppelerweg,52.52448,6.11888,"['IEC62196Type2Outlet', 'Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",
306,InCharge Kampen Zambonistraat,52.55736,5.88462,"['Chademo', 'IEC62196Type2Outlet']",528009010042976
307,InCharge Zwolle Floresstraat,52.52266,6.11633,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010111882
308,Shell Recharge Amersfoort Boerderijenboulevard,52.18224,5.43424,"['Chademo', 'IEC62196Type2CCS']",528009010105912
309,Fastned Woudenberg Rijksweg A12,52.05115,5.46405,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010110563
310,Allego Putten Strandboulevard,52.26821,5.53317,"['IEC62196Type2Outlet', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009082512
311,OG Bunschoten-Spakenburg De Kronkels,52.23386,5.36699,"['IEC62196Type2CCS', 'Chademo']",
312,Fastned Opheusden Rijksweg A15,51.92395,5.60518,"['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS']",528009010106627
313,Shell Recharge Nijmegen Neerbosscheweg,51.82647,5.82631,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010110005
314,Allego Staphorst Staphorst Rijksweg A28,52.62391,6.20766,"['IEC62196Type2CCS', 'Chademo']",
315,PARKnCHARGE Lunteren Immenweg,52.08746,5.66943,"['IEC62196Type2Outlet', 'IEC62196Type2Outlet', 'IEC62196Type2CCS']",528009009073067
316,InCharge Heteren Polderstraat,51.94457,5.75642,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010040770
317,InCharge Meppel Blankenstein,52.69485,6.20504,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010042632
318,Fastned Hulshorst,52.36311,5.76785,"['IEC62196Type2CCS', 'Chademo']",528009010104640
319,Shell Recharge Klarenbeek Rijksweg A50,52.16601,6.02506,"['Chademo', 'IEC62196Type2CCS']",528009010110531
320,Fastned Lelystad RW A6 de Lepelaar,52.43269,5.42277,"['Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009009093137
321,InCharge Nijkerk Smitspol,52.24011,5.48247,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010044969
322,Fastned Harderwijk Rijksweg A28,52.33172,5.59124,"['IEC62196Type2CCS', 'Chademo']",528009010070730
323,Fastned Arnhem Batavierenweg,51.96473,5.8924,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010108015
324,InCharge Arnhem Batavierenweg,51.9646,5.89108,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010048451
325,Doetinchem Innovatieweg,51.94417,6.27835,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",
326,InCharge Harderwijk Knardijk West,52.35417,5.63039,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",
327,Porsche Heteren Ressenerbroek,51.942,5.76425,['IEC62196Type2CCS'],
328,Tesla Zevenaar Doesburgseweg,51.94073,6.08179,"['Tesla', 'IEC62196Type2CCS']",
329,InCharge Deventer Piet van Donkplein,52.24975,6.20454,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010040549
330,Tesla Deventer Birnieweg,52.2334,6.21026,"['IEC62196Type2CCS', 'Tesla']",
331,Fastned Heerde Rijksweg A50,52.39598,6.01331,"['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS']",528008000014377
332,InCharge Beuningen Hadrianussingel,51.85622,5.75156,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010108738
333,Amersfoort Urselapolder,52.19328,5.43051,['IEC62196Type2CCS'],528009010067806
334,Allego Tiel Laan van Westroijen,51.89955,5.43695,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010070013
335,Shell Recharge Radio Kootwijk Rijksweg A1,52.19567,5.83507,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010110168
336,Elst Brugwachter,51.91806,5.86256,['IEC62196Type2CableAttached'],
337,Allego Klarenbeek Rijksweg A50,52.16601,6.02506,"['IEC62196Type2CCS', 'Chademo']",
338,PARKnCHARGE Zutphen Industrieweg,52.15495,6.19937,['IEC62196Type2CCS'],
339,InCharge Lelystad Larserplein,52.48222,5.50475,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010042941
340,E-Flux Dronten Koornmarktpoort,52.55049,5.69467,['IEC62196Type2CCS'],528009009105189
341,Fastned Nagele Rijksweg A6,52.6259,5.66669,"['Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009010065035
342,InCharge Zutphen Hermesweg,52.1492,6.19649,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010069194
343,InCharge Arnhem Ringoven,51.97568,5.95986,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010043364
344,Fastned Nijmegen Sint Jacobslaan,51.82037,5.85223,"['IEC62196Type2CCS', 'Chademo']",
345,Tesla Zwolle Nieuwleusenerdijk,52.53196,6.15695,"['IEC62196Type2CCS', 'Tesla']",
346,Porsche Deventer Birnieweg,52.234,6.20023,['IEC62196Type2CCS'],
347,ChargePoint Gorssel Hoofdstraat,52.19783,6.19958,"['IEC62196Type2CCS', 'Chademo']",528009009102754
348,TotalEnergies Leusden Randweg,52.14314,5.41838,"['Chademo', 'IEC62196Type2CCS']",
349,Shell Recharge Nijmegen Grootstalselaan,51.80844,5.83858,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010103720
350,Shell Recharge Hoogland E231,52.21225,5.34048,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'Chademo']",528009010112796
351,Fastned Klarenbeek Rijksweg A50,52.17078,6.02581,"['Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009009078980
352,Allego Amersfoort Kleine Koppel,52.16157,5.37933,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009002417101
353,Last Mile Solutions Oss Etruskenweg,51.76339,5.55855,['IEC62196Type2Outlet'],528008000030914
354,Arnhem De Overmaat,51.95233,5.88509,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",
355,Allego Apeldoorn Lange Amerikaweg,52.17889,5.98478,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009076316
356,E-Flux Tiel De Prinsenhof,51.90981,5.453,"['IEC62196Type2CCS', 'Chademo']",
357,Shell Recharge Lelystad Larserdreef,52.48666,5.49269,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010104611
358,Tiel Marconistraat,51.90818,5.42678,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",
359,Shell Recharge Arnhem Westervoortsedijk,51.97096,5.94703,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010105866
360,Allego Terschuur Zelderseweg,52.16839,5.56448,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009071999
361,IONITY Stroe Rijksweg A1,52.18422,5.67044,['IEC62196Type2CCS'],528009009094646
362,Shell Recharge Apeldoorn Laan van de Mensenrechten,52.20827,5.97505,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010112305
363,Fastned Ede Buunderkamp,52.02086,5.75483,"['IEC62196Type2CCS', 'Chademo']",528009010068278
364,Zeewolde Pioniersweg,52.3299,5.54031,"['IEC62196Type2Outlet', 'IEC62196Type2CCS']",528009010065870
365,Apeldoorn Oude Apeldoornseweg,52.17955,5.97042,"['IEC62196Type2Outlet', 'Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",
366,Fastned Arnhem Slenkweg,52.00745,5.81232,"['Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009077643
367,PARKnCHARGE Lelystad Larserplein,52.48277,5.50585,['IEC62196Type2CCS'],
368,E-Flux Doetinchem Braamtseweg,51.94625,6.2836,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010065711
369,Fastned Ede Rijksweg A30,52.06378,5.61204,"['IEC62196Type2CCS', 'Chademo', 'Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009009076446
370,Fastned Hoogland Rijksweg 1,52.21129,5.34196,"['IEC62196Type2CCS', 'Chademo']",528009010111867
371,Tesla Emmeloord Het Hooiveld,52.72741,5.76461,"['Tesla', 'IEC62196Type2CCS']",
372,Fastned Wezep Rijksweg A28,52.45162,5.97791,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010105558
373,TotalEnergies Leusden Randweg,52.14319,5.41804,"['Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",
374,Allego Amersfoort Maanlander,52.19509,5.3894,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528008000014308
375,IONITY Opheusden Rijksweg A15,51.92164,5.60374,['IEC62196Type2CCS'],528009009078229
376,InCharge Oosterhout Rietgraaf,51.89251,5.83061,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010071121
377,InCharge Nijmegen Wijchenseweg,51.82523,5.80348,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010042671
378,Fastned Opheusden Rijksweg A15,51.9216,5.60331,"['Chademo', 'IEC62196Type2CCS']",528009009087991
379,Shell Recharge Apeldoorn Kanaal Noord,52.23666,5.97678,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010104007
380,InCharge Joure Sewei,52.95864,5.81215,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010042398
381,InCharge Drachten Omloop,53.10851,6.0819,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010110607
382,Fastned Darp Rijksweg A32,52.75097,6.18994,"['IEC62196Type2CCS', 'Chademo']",528009010110733
383,InCharge Sneek Wolkammersstraat,53.03518,5.62212,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010110009
384,IONITY Nuis Rijksweg A7,53.16163,6.29264,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009009090803
385,OG Leeuwarden Morseweg,53.18701,5.75473,"['IEC62196Type2CCS', 'Chademo']",
386,Fastned Oldeholtwolde Rijksweg A32,52.9156,5.98238,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'Chademo']",528009009076261
387,InCharge Drachten-Azeven Bohrlaan,53.09598,6.1356,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010070785
388,OG Heerenveen Pluto,52.97633,5.93784,"['IEC62196Type2CCS', 'Chademo']",
389,Fastned Menaam De Mieden,53.20374,5.68262,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009095896
390,Allego Zurich Viaduct,53.09902,5.38409,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009009081785
391,Fastned Wolsum Laerd en Saerd,53.05138,5.55393,"['IEC62196Type2CCS', 'Chademo']",528009010104402
392,Fastned Rutten Rijksweg A6,52.81845,5.74229,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010110346
393,Fastned Nuis Rijksweg A7,53.16155,6.29359,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'Chademo']",528009010104494
394,InCharge Heerenveen Stadionweg,52.96546,5.93176,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010041467
395,E-Flux Steenwijk Steenakkers,52.78047,6.15898,"['IEC62196Type2CCS', 'Chademo']",528009010064394
396,Fastned Terwispel De Vonken,53.03244,6.02103,"['IEC62196Type2CCS', 'Chademo']",528009010106879
397,Allego Drachten Lavendelheide,53.10591,6.12887,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010107877
398,Tesla Drachten Lavendelheide,53.10553,6.12798,"['IEC62196Type2CCS', 'Tesla']",
399,Shell Recharge Leeuwarden Wismastate,53.21159,5.83398,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010112024
400,Allego Heerenveen Abe Lenstra Boulevard,52.9581,5.93477,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009009107766
401,Heerenveen Industrieweg,52.93179,5.95325,"['IEC62196Type2Outlet', 'Chademo', 'IEC62196Type2CCS']",528009010104383
402,Fastned Wirdum Mandelân,53.12953,5.80482,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'Chademo']",528009010112612
403,Drachten Ampèrelaan,53.1089,6.13376,"['IEC62196Type2Outlet', 'IEC62196Type2CCS']",528009010068941
404,E-Flux Heerenveen Pluto,52.97668,5.93746,"['IEC62196Type2CCS', 'Chademo']",528009010066731
405,InCharge Goutum Brédyk,53.17955,5.79687,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010043772
406,Fastned Bant Rijksweg A6,52.78442,5.75931,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010106949
407,Shell Recharge Leeuwarden François HaverSchmidtwei,53.20501,5.76596,"['IEC62196Type2Outlet', 'Chademo']",528009010106197
408,Fastned Terwispel De Wâlden,53.02914,6.02062,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010105549
409,Fastned Nijeveen Bovenboer,52.75287,6.18648,"['IEC62196Type2CCS', 'Chademo']",528009010111774
410,Shell Recharge Holten Rijksweg A1,52.25547,6.43775,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010110738
411,InCharge Enschede Spaansland,52.20594,6.89175,"['Chademo', 'IEC62196Type2Outlet']",528009010043411
412,PARKnCHARGE Denekamp Nordhornsestraat,52.38592,7.01736,"['IEC62196Type2CCS', 'Chademo']",
413,PARKnCHARGE Haaksbergen Textielstraat,52.17339,6.74253,['IEC62196Type2CCS'],
